timestamp,title,price,original_price,shipping,item_url,discount_percentage
2025-11-01T17:52:38,Samsung Galaxy S25+ PLUS SM-S936U1 256GB 512GB FACTORY UNLOCKED,599.0,599.0,"Free USPS Ground Advantage®.  Located in: Dallas, Texas, United States",https://www.ebay.com/itm/127100653669?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006423,0.0
2025-11-01T17:52:38,Apple iPhone 14 Pro Silver 256GB Good - Refurbished - Unlocked,454.99,454.99,"Free 2-3 day delivery Get it between Tue, Nov 4 and Wed, Nov 5 to 94112.  Located in: Fort Worth, Texas, United States",https://www.ebay.com/itm/127244140439?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006423,0.0
2025-11-01T17:52:38,"Acer Nitro V 15.6"" Gaming Laptop NVIDIA RTX 4060 Core i9 - Certified Refurbished",919.99,1049.99,Shipping info unavailable,https://www.ebay.com/itm/267229769086?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,12.38
2025-11-01T17:52:38,"Apple MacBook Pro 16"" 2023 M3 Pro 512GB 18GB RAM Space Black - Very Good",1294.99,1294.99,Shipping info unavailable,https://www.ebay.com/itm/157138988493?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,0.0
2025-11-01T17:52:38,"Apple MacBook Pro 16"" 2023 M3 Pro All Colors Storage RAM - Very Good",1294.99,1294.99,Shipping info unavailable,https://www.ebay.com/itm/157242142098?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,0.0
2025-11-01T17:52:38,"Apple MacBook Pro 16"" 2023 M3 Max Silver Black 32GB 48GB RAM 1TB 2TB SSD - Good",2322.99,2322.99,Shipping info unavailable,https://www.ebay.com/itm/167745573294?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006407,0.0
2025-11-01T17:52:38,XGIMI MoGo 2 Pro 1080P Portable Projector Mini Projector with 400 ISO Lumens,219.0,219.0,"Free 2-4 day delivery Get it between Tue, Nov 4 and Thu, Nov 6 to 94112.  Located in: Garden Grove, California, United States",https://www.ebay.com/itm/317172582509?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,0.0
2025-11-01T17:52:38,XGIMI MoGo 2 Pro 1080P Portable Projector Mini Projector with 400 ISO Lumens,234.99,234.99,"Free 2-4 day delivery Get it between Tue, Nov 4 and Thu, Nov 6 to 94112.  Located in: Garden Grove, California, United States",https://www.ebay.com/itm/314792480218?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,0.0
2025-11-01T17:52:38,"XGIMI MoGo 3 Pro 1080P Portable Projector, Google TV with Licensed Netflix",349.0,349.0,"Free 2-4 day delivery Get it between Tue, Nov 4 and Thu, Nov 6 to 94112.  Located in: Garden Grove, California, United States",https://www.ebay.com/itm/316115270330?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,0.0
2025-11-01T17:52:38,"Westinghouse 32"" 720P HD Smart Roku TV WR32HT2212",84.0,169.99,Shipping info unavailable,https://www.ebay.com/itm/235022919530?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006409,50.59
2025-11-01T17:52:38,SVBONY MK127 Telescope Maksutov-Cassegrain 127mm for Planetary Observation,479.99,533.32,Shipping info unavailable,https://www.ebay.com/itm/197423012127?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,10.0
2025-11-01T17:52:38,"SVBONY SV241 Pro Astronomical Telescope Power HUB USB Control, Astrophotography",169.99,242.84,Shipping info unavailable,https://www.ebay.com/itm/177370794681?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,30.0
2025-11-01T17:52:38,DJI FPV Combo - Certified Refurbished,719.1,1299.0,Shipping info unavailable,https://www.ebay.com/itm/305259444032?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,44.64
2025-11-01T17:52:38,DJI Mavic 3 Pro with DJI RC Triple-Camera Certified Refurbished,2339.1,2339.1,"Free UPS Ground.  Located in: New York, New York, United States",https://www.ebay.com/itm/306028198306?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006430,0.0
2025-11-01T17:52:38,NEW Nintendo Switch Lite Handheld Console PICK COLOR + 12Month Membership Online,196.95,199.99,Shipping info unavailable,https://www.ebay.com/itm/195336793691?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,1.52
2025-11-01T17:52:38,"Logitech - PRO X 2 LIGHTSPEED Wireless Gaming Headset for PC, PS5, PS4,",119.99,279.99,Shipping info unavailable,https://www.ebay.com/itm/167017920229?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,57.14
2025-11-01T17:52:38,"Microsoft Xbox Wireless Controller For Xbox Series X / S, Xbox One & Windows PC",43.49,70.0,"Free USPS Ground Advantage®.  Located in: Naperville, Illinois, United States",https://www.ebay.com/itm/275287871839?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,37.87
2025-11-01T17:52:38,Pokemon Shining Pearl - Nintendo Switch,39.99,59.99,"Free 2-4 day delivery Get it between Tue, Nov 4 and Thu, Nov 6 to 94112.  Located in: Brea, California, United States",https://www.ebay.com/itm/406288206525?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401,33.34
2025-11-01T17:52:38,Apple iPad Pro 13-inch 7th gen M4 Chip 512GB WiFi - Black or Silver - Good,919.86,1699.85,Shipping info unavailable,https://www.ebay.com/itm/187028223989?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,45.89
2025-11-01T17:52:38,"Apple iPad Air 10.9"" 4th Gen, 64GB, Wi-Fi - VERY GOOD - 1 YEAR WARRANTY",229.86,659.85,Shipping info unavailable,https://www.ebay.com/itm/175242586112?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,65.16
2025-11-01T17:52:38,"Apple iPad Air 10.9"" 4th Gen, 64GB, Wi-Fi + 4G - Very Good - 1 YEAR WARRANTY",248.26,689.85,Shipping info unavailable,https://www.ebay.com/itm/175245221135?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,64.01
2025-11-01T17:52:38,"Apple iPad Air 10.9"" 4th Gen 2020, 64GB, Wi-Fi - GOOD - 1 YEAR WARRANTY",220.66,649.85,Shipping info unavailable,https://www.ebay.com/itm/203915852886?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415,66.04
2025-11-01T17:52:38,Sony WF-1000XM5 Truly Wireless Bluetooth Noise Canceling Headphones - Black,139.99,299.99,Shipping info unavailable,https://www.ebay.com/itm/276015021037?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,53.34
2025-11-01T17:52:38,Skullcandy Push Active True Wireless Earbuds-Black/Orange(Certified Refurbished),30.99,79.99,Shipping info unavailable,https://www.ebay.com/itm/265551837873?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419,61.26
