timestamp,title,price,original_price,shipping,item_url
2025-10-31T20:20:55,Soundcore Life Q20 Wireless Over-Ear Headphones ANC Bluetooth Headset|Refurbish,US $29.99,US $59.99,Shipping info unavailable,https://www.ebay.com/itm/384235550388?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple iPhone 14 128GB Unlocked - Excellent,US $312.95,N/A,Shipping info unavailable,https://www.ebay.com/itm/364506177072?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Samsung Galaxy Buds FE True Wireless Bluetooth Earbuds Graphite - Excellent,US $40.05,N/A,"US $55.04 eBay International Shipping .  Located in: Naperville, IL, United States",https://www.ebay.com/itm/285820041847?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Google Pixel 8 128GB Factory Unlocked - Excellent,US $299.99,N/A,"US $26.19 eBay International Shipping .  Located in: New York, NY, United States",https://www.ebay.com/itm/226959919179?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple Watch Series 5 40mm 44mm GPS + WiFi + Cellular Pink Gold Space Gray Silver,US $84.99,N/A,Shipping info unavailable,https://www.ebay.com/itm/313943952880?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Sony WH-CH720N Noise Canceling Wireless Headphones,US $49.99,US $149.99,Shipping info unavailable,https://www.ebay.com/itm/314505929469?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Samsung Galaxy S21 5G SM-G991U1 128GB Unlocked Excellent,US $153.49,N/A,"US $29.29 eBay International Shipping .  Located in: Vernon Hills, IL, United States",https://www.ebay.com/itm/354341990110?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Intel Core Ultra 9 Desktop Processor 285K - 24 cores (8 P-cores + 16 E-cores),US $529.99,US $599.99,Shipping info unavailable,https://www.ebay.com/itm/306007367634?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,"Bose Solo Soundbar 2 Home Theater, Certified Refurbished",US $129.00,US $199.00,Shipping info unavailable,https://www.ebay.com/itm/167031735841?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,"REDTIGER Dash Camera 4K Front and Rear Dash Cam Built-In WiFi & GPS, App control",US $64.49,US $129.49,Shipping info unavailable,https://www.ebay.com/itm/285933024479?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple iPhone 14 Pro 512GB Fully Unlocked - Excellent,US $515.99,N/A,"US $32.56 eBay International Shipping .  Located in: New York, NY, United States",https://www.ebay.com/itm/326649259659?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple iPhone 14 Pro Max 256GB Unlocked - Excellent,US $553.95,N/A,Shipping info unavailable,https://www.ebay.com/itm/386938357149?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Sony WH-1000XM5/B Wireless Industry Leading Noise Canceling Bluetooth Headphones,US $179.99,US $399.99,Shipping info unavailable,https://www.ebay.com/itm/314074071401?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,NEW Nintendo Switch Lite 32GB Handheld Game Console + ✈️ FREE 2-DAY Shipping,US $189.95,N/A,Shipping info unavailable,https://www.ebay.com/itm/283834525231?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple AirPods Pro 2nd Generation Gen 2 2023 A2968 with Magsafe USB-C Charging,US $142.95,N/A,"US $76.82 eBay International Shipping .  Located in: Naperville, IL, United States",https://www.ebay.com/itm/285636515887?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,"Proscan 10.1"" Tablet/Portable DVD Combo 2GB/32GB Multi-touch screen w/ HDMI",US $37.99,US $139.99,Shipping info unavailable,https://www.ebay.com/itm/364156102432?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,US $139.95,US $239.95,"US $143.04 eBay International Shipping .  Located in: Walton, KY, United States",https://www.ebay.com/itm/116659802706?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,US $198.88,N/A,"US $30.63 eBay International Shipping .  Located in: Yuba City, CA, United States",https://www.ebay.com/itm/194520534603?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,"Toshiba MG08ACP16TE 16TB 512MB 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise HDD",US $239.99,N/A,"US $52.94 eBay International Shipping .  Located in: La Puente, CA, United States",https://www.ebay.com/itm/167745461033?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-10-31T20:20:55,Apple iPhone 16 Plus 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,US $676.95,N/A,Shipping info unavailable,https://www.ebay.com/itm/305910464635?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-10-31T20:20:55,Samsung Galaxy S23 SM-S911U1 5G 128G 256GB Black Cream Green Unlocked,US $279.00,N/A,"US $33.00 eBay International Shipping .  Located in: Dallas, TX, United States",https://www.ebay.com/itm/126980765750?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-10-31T20:20:55,Samsung Galaxy S22 Ultra 512GB S908U Unlocked - Very Good,US $325.99,N/A,Shipping info unavailable,https://www.ebay.com/itm/256483219243?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-10-31T20:20:55,Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Good Condition,US $160.00,N/A,"US $21.03 eBay International Shipping .  Located in: Tempe, AZ, United States",https://www.ebay.com/itm/275302165013?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
2025-10-31T20:20:55,N/A,N/A,N/A,Shipping info unavailable,https://www.ebay.com/globaldeals/tech/cell-phones/all
